id,название,описание,ингредиенты,сложность приготовления,вид кухни
1|Омлет с шампиньонами|Пышный омлет с жареными шампиньонами и зеленью.|"Яйца, шампиньоны, молоко, зелень"|1|Европейская
2|Картофельное пюре|"Кремовое пюре с молоком и маслом, подается с соусом."|"Картофель, молоко, масло, соль"|1|Европейская
3|Рататуй|"Овощное блюдо провансальской кухни, запеченное в духовке."|"Баклажаны, кабачки, томаты, лук, перец, чеснок, тимьян"|2|Французская
4|Макароны по-флотски|Простое и сытное блюдо с макаронами и мясным соусом.|"Макароны, говядина или свинина, лук, томатная паста"|2|Русская
5|Блины на молоке|"Тонкие блины на молоке, подаются с джемом или сгущенкой."|"Молоко, мука, яйца, сахар, соль, масло"|1|Европейская
6|Шакшука|"Блюдо североафриканской кухни с томатами, яйцами и специями."|"Томаты, яйца, лук, чеснок, болгарский перец, специи"|2|Африканская
7|Куриный суп|"Наваристый суп с курицей, морковью, картофелем и лапшой."|"Курица, морковь, картофель, лапша, лук, зелень"|2|Русская
8|Паста карбонара|"Итальянская паста с беконом, яйцом и сыром Пекорино."|"Спагетти, бекон, яйца, сыр Пекорино, перец"|3|Итальянская
9|Маргарита пицца|"Классическая итальянская пицца с томатным соусом, моцареллой и базиликом."|"Тесто для пиццы, томатный соус, моцарелла, базилик"|1|Итальянская
10|Рис с овощами|Легкий гарнир из риса с разнообразными овощами.|"Рис, морковь, зеленый горошек, кукуруза, перец, соевый соусЯблоки, бананы, киви, апельсины, виноград, клубника"|1|Азиатская
11|Фруктовый салат|Свежий салат из ассорти сезонных фруктов.|"Свекла, картофель, морковь, капуста, говядина, лук, чеснок"|1|Европейская
12|Классический борщ|"Традиционный русский суп с свеклой, мясом и капустой."|"Мясной фарш, листы для лазаньи, томатный соус, моцарелла, пармезан"|3|Русская
13|Лазанья с мясом|"Слоеное блюдо с мясным соусом, листами теста и сыром."|"Куриное филе, яйца, панировочные сухари, мука, специи"|3|Итальянская
14|Куриные котлеты|"Нежные куриные котлеты, обжаренные до золотистой корочки."|"Тунец, яйца, зеленые бобы, помидоры, оливки, анчоусы, листья салата"|2|Русская
15|Салат Нисуаз|"Французский салат с тунцом, яйцами, оливками и анчоусами."|"Яйца, помидоры, оливки, анчоусы, листья салата"|2|Французская
